csf	constant	linearTrend	wm	global	motion-pitch	motion-roll	motion-yaw	motion-x	motion-y	motion-z	gm	compcor1	compcor2	compcor3	compcor4	compcor5
13343.032102491035	1.0	0.0	9486.199545677482	9921.655258811823	0.2691	0.0374	-0.0041	-0.029	-0.0638	-0.0429	9540.217163448484	-0.029118593430880108	0.027237608227289378	-0.06896450961001804	0.05302125294256968	-0.07931455668346399
13329.224068063204	1.0	1.0	9497.003324892803	9925.703296514155	0.2492	0.0374	-0.0049	-0.0363	-0.0493	-0.0556	9547.195834804807	0.011274392385166476	-0.03431555728270633	-0.1710477166167219	0.06954013579930363	-0.072535106624605
13291.755627241291	1.0	2.0	9484.012965365506	9895.59637585754	0.2371	0.0424	-0.0155	-0.0248	-0.0532	-0.0308	9524.84410020123	0.018361081077461816	0.013027135367718268	-0.032446959968368105	0.13261335765497662	-0.11600964097276473
13275.211267690189	1.0	3.0	9478.3476862875	9885.20012304865	0.2436	0.0353	-0.0031	-0.0263	-0.0566	-0.0348	9508.96522088028	-0.013876983231556991	-0.0946398826107408	0.01821889407812688	0.11755454121855025	-0.12343321291252873
13279.199963178791	1.0	4.0	9485.204639771906	9880.71296447384	0.2409	0.0362	-0.0185	-0.0281	-0.0588	-0.0323	9514.826900938137	0.02474165216423034	0.010993969852957641	-0.010686420687978405	0.06835703604236842	-0.05929752579601172
13309.778498415088	1.0	5.0	9483.135645152388	9892.466844017088	0.2656	0.0324	-0.0043	-0.0228	-0.0588	-0.0448	9523.711614429181	-0.12757608617111277	-0.027153921656502877	0.025959370603917342	0.05826548817399782	-0.10139183907621702
13309.924304399334	1.0	6.0	9490.962498169774	9916.386461767317	0.2215	0.0374	0.0025	-0.0415	-0.0596	-0.0302	9543.658703179819	0.08778928338662052	-0.0437392002125985	-0.10014273535352858	0.03415354677306687	-0.03915344288789746
13328.188938828765	1.0	7.0	9505.040869870818	9908.965812918956	0.2539	0.0426	-0.0124	-0.0169	-0.0696	-0.0325	9531.186064337091	-0.11028998012987463	0.07388685015677098	-0.14248465155937032	0.09394718880135866	-0.022270649224235606
13314.073502337345	1.0	8.0	9491.141923321731	9902.411251844027	0.2409	0.0455	0.0018	-0.0188	-0.0628	-0.0234	9523.854934920966	0.08349625223275571	-0.12669016042571424	-0.1004420268036598	0.04742782675401275	0.011590665843397796
13308.593931104317	1.0	9.0	9497.714274673328	9911.539555478728	0.2175	0.0462	-0.0092	-0.0307	-0.0661	-0.0247	9541.782084374994	0.05602997836529651	0.19090310190206736	-0.09655666304667174	-0.019244283718775027	-0.0423731930059523
13250.088732109694	1.0	10.0	9487.156278496508	9920.56862892575	0.232	0.0442	-0.01	-0.0099	-0.0666	-0.0384	9536.623873704357	-0.09503415673809655	-0.0653841579665016	0.0016888274434709379	-0.005312322954718894	-0.0060310041868088665
13283.671452756787	1.0	11.0	9508.306201015404	9940.465718382897	0.1992	0.0449	-0.0044	-0.0385	-0.0663	-0.032	9561.282383192945	0.10223017767332218	0.052956106846791896	-0.057924240440793806	0.0397441911087389	0.016149601022640556
13330.546907018443	1.0	12.0	9495.725165033184	9912.411896810332	0.2254	0.0435	-0.029	-0.0237	-0.0715	-0.0368	9522.171525031215	-0.06017195204041664	0.009437480398819767	-0.10590256019985403	0.07301721610064557	-0.03510895393105092
13299.47976234311	1.0	13.0	9492.293386335255	9889.83233142575	0.2306	0.0401	-0.0156	-0.0283	-0.0724	-0.0183	9508.666725793992	0.0467375706446713	-0.07268068059335203	-0.029118100240429896	0.06507534364908836	-0.09870976707826738
13292.532408667392	1.0	14.0	9491.464930401193	9906.26388433722	0.1868	0.0438	-0.0168	-0.0451	-0.0744	-0.0081	9519.784799417946	0.0058737119141092095	0.06855639632420929	-0.038959939677412625	0.015595070120505162	0.01864946317513127
13316.05743708376	1.0	15.0	9484.904809622469	9909.150491994274	0.2164	0.0402	-0.0378	-0.0376	-0.0683	-0.0337	9526.179500577178	-0.09774122816299748	-0.06488507899876159	-0.07511088113910759	-0.11098024256759276	-0.011431176790267792
13263.31289822938	1.0	16.0	9498.749981626628	9917.262133913178	0.1923	0.0422	-0.0013	-0.0432	-0.0633	-0.0169	9536.776644115356	0.13558752343025807	0.0025295252692904757	0.023553003074886506	-0.001205805623805997	0.055094443880818966
13312.311105196593	1.0	17.0	9486.531589942942	9896.633809724477	0.184	0.0426	-0.0228	-0.0364	-0.0629	-0.0113	9526.40170537306	-0.0047742953801462274	-0.01679803110226938	-0.023315311700543493	0.012543470381231681	-0.038086895213644556
13301.433025422644	1.0	18.0	9491.614103547297	9898.160713032916	0.1711	0.0394	-0.0156	-0.0301	-0.0604	-0.0086	9531.078071039075	-0.07207013216379937	0.01993950242693459	0.010781869369654036	0.006861473724424575	0.01673707927426382
13274.242783843494	1.0	19.0	9493.193207480555	9909.569868996807	0.1556	0.0515	-0.0177	-0.0287	-0.0561	-0.0043	9535.141473985208	0.08740445797724691	-0.0675477089419879	-0.024427087735552848	-0.10422573856555965	0.08923497974827936
13286.632664414703	1.0	20.0	9489.347355163776	9903.924854010469	0.1817	0.0492	-0.0199	-0.0111	-0.0606	-0.0083	9538.693976127115	-0.00487520271223498	0.07807859502470509	0.019149916075600175	0.019625913922870008	-0.11580770285246957
13288.814058897926	1.0	21.0	9503.106574305424	9910.606643598632	0.1679	0.0507	-0.004	-0.0284	-0.0556	0.0008	9541.335505972389	0.04798315292223093	-0.10400340830193688	-0.054405748580945275	0.015394004556078459	-0.005484488241045568
